Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
272,0,101.047,94.3094,-66.4845,447.728,-682.26,1699.33
273,0,102.635,96.0288,-68.2406,461.235,-688.771,1699.4
274,0,104.459,97.41,-70.1082,473.853,-695.297,1699.42
275,0,104.481,94.8831,-69.0662,489.405,-706.101,1698.39
276,0,105.929,96.802,-70.7307,500.766,-712.697,1697.69
277,0,109.013,101.926,-75.2618,507.393,-715.092,1698.49
278,0,110.202,104.722,-76.3581,516.118,-720.912,1697.91
279,0,111.571,105.317,-76.9016,523.785,-726.473,1697.88
280,0,112.939,105.122,-77.1052,530.366,-731.541,1698.16
281,0,114.288,104.861,-77.1746,535.979,-736.189,1698.58
282,0,115.424,105.516,-77.2634,540.767,-740.383,1699
283,0,116.674,106.058,-77.2275,544.652,-744.227,1699.38
284,0,117.708,106.831,-77.1208,547.46,-747.606,1699.78
285,0,118.722,107.647,-76.7821,549.284,-750.444,1700.29
286,0,119.788,107.386,-76.1715,550.097,-752.657,1700.7
287,0,120.545,106.854,-75.5,550.016,-754.268,1701.04
288,0,121.067,106.94,-74.9913,549.118,-755.124,1701.28
289,0,121.453,106.806,-74.4887,547.499,-755.38,1701.26
290,0,121.78,106.711,-74.0782,545.129,-755.038,1700.97
291,0,121.561,107.927,-73.6164,542.166,-754.057,1700.47
292,0,121.465,108.418,-73.1183,538.381,-752.382,1699.81
293,0,121.227,108.458,-72.4845,533.913,-750.077,1698.94
294,0,120.781,108.3,-71.7881,528.668,-747.133,1697.82
295,0,120.148,107.826,-71.1132,522.926,-743.602,1696.4
296,0,119.562,106.909,-70.4578,516.775,-739.672,1694.55
297,0,118.781,106.807,-70.0161,510.272,-735.426,1692.25
298,0,117.972,106.927,-69.7871,503.477,-730.927,1689.43
299,0,116.952,108.071,-69.6738,496.203,-726.139,1686.13
300,0,115.848,109.295,-69.5114,488.362,-721.06,1682.51
301,0,114.733,109.804,-69.2136,479.642,-715.612,1678.59
302,0,112.762,99.9408,-66.6308,473.598,-715.073,1674.19
303,0,111.566,99.2026,-65.8862,463.191,-708.82,1669.85
304,0,110.289,99.695,-64.8354,451.978,-701.613,1664.64
305,0,108.891,98.4747,-63.9061,440.196,-694.601,1659.37
306,0,107.226,97.4965,-63.1035,427.908,-687.347,1653.54
307,0,105.356,97.1879,-62.4884,414.97,-679.733,1646.84
308,0,103.872,103.101,-63.8836,399.232,-667.962,1639.53
309,0,101.77,97.107,-62.4796,387.021,-662.238,1632.64
310,0,99.7192,97.3042,-62.114,372.351,-654.17,1623.49
311,0,97.2692,100.161,-62.376,356.462,-645.422,1612.98
312,0,94.8817,97.5359,-61.6415,341.836,-638.62,1603.24
313,0,92.1705,100.012,-61.9161,325.3,-630.459,1591.3
314,0,89.8644,96.5098,-60.9427,309.941,-624.264,1580.49
315,0,87.4057,95.8339,-60.3031,293.477,-617.492,1567.86
316,0,84.0847,97.8145,-60.675,276.133,-610.696,1553.98
317,0,81.1549,97.7036,-60.6339,258.786,-604.731,1539.83
318,0,78.4025,96.4647,-60.3656,241.439,-599.574,1525.54
319,0,75.2716,96.8052,-60.4731,223.651,-594.88,1510.38
320,0,72.8323,95.4617,-59.7778,205.704,-591.029,1495.28
321,0,70.5036,94.0552,-58.8176,187.408,-587.859,1480
322,0,68.9666,88.3589,-55.9617,169.684,-586.295,1466.29
323,0,66.1084,92.2911,-56.991,149.038,-583.964,1448.06
324,0,63.2479,91.9021,-56.1357,129.889,-583.104,1431.83
325,0,60.018,91.6251,-55.4174,110.648,-582.925,1415.18
326,0,56.4499,91.4055,-55.1268,91.5873,-583.774,1397.83
327,0,53.6477,89.1854,-53.7914,72.311,-585.351,1380.23
328,0,50.783,87.1112,-52.7448,53.3708,-587.887,1362.51
329,0,47.9771,85.6713,-51.8974,35.1081,-591.228,1344.7
